Epoch,Classification Loss (Fast RCNN) Training,Classification Loss (Fast RCNN) Testing,Box Regression Loss (Fast RCNN) Training,Box Regression Loss (Fast RCNN) Testing,Objectness Loss (RPN) Training,Objectness Loss (RPN) Testing, Box Regression Loss (RPN) Training, Box Regression Loss (RPN) Testing,Total Loss Training,Total Loss Testing,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100,mar_small,mar_medium,mar_large,map_per_class,mar_100_per_class,classes
1,0.421896034294797,0.4019019609051091,0.3397894179083637,0.379825263683285,0.3360581733670431,0.2534280006906816,0.1236750270748875,0.1073385193677885,1.2214186541812937,1.1424937482391084,0.0033889547921717,0.0151559943333268,0.0007049114792607,0.0037409840151667,0.0038878405466675,-1.0,0.0005679996684193,0.0055448799394071,0.0467490442097187,0.0045281248167157,0.0579588524997234,-1.0,"[0.003616225440055132, 0.0031616848427802324]","[0.051695335656404495, 0.041802749037742615]","[1, 2]"
2,0.3890279152036942,0.3905421676380293,0.37551056217287,0.3910588526300022,0.2465465263914816,0.2472287474998406,0.1049492555795256,0.1042663707797016,1.1160342564287873,1.1330961223159517,0.0036318905185908,0.0165051333606243,0.0005460132379084,0.0021273181773722,0.0046328483149409,-1.0,0.000586632231716,0.0059584113769233,0.0524372942745685,0.0056865871883928,0.0647657886147499,-1.0,"[0.003909246996045113, 0.003354532876983285]","[0.05826864391565323, 0.04660593345761299]","[1, 2]"
3,0.3789144946435063,0.3835836143365928,0.383296104282448,0.3965043425559997,0.2410298333186464,0.2431915788246052,0.1028561435793478,0.1032683408952185,1.106096571868228,1.126547873020172,0.0049891518428921,0.0219729226082563,0.0008701634942553,0.0046579437330365,0.0057622054591774,-1.0,0.0007856202428229,0.0071865073405206,0.0556239075958728,0.0066399266943335,0.0683871954679489,-1.0,"[0.004740511532872915, 0.005237791687250137]","[0.0634695440530777, 0.04777826368808746]","[1, 2]"
4,0.3747254828202356,0.3833410431231771,0.389564105530375,0.404572700283357,0.2372437555765368,0.2396373847233397,0.101931635828055,0.1028488561777132,1.1034649797936076,1.1303999849728177,0.0066889496520161,0.0246623866260051,0.0016888449899852,0.0052076424472033,0.0075851483270525,-1.0,0.0014038358349353,0.0091961156576871,0.0578327253460884,0.0093039581552147,0.070271112024784,-1.0,"[0.006680652499198914, 0.006697246804833412]","[0.0663137286901474, 0.049351729452610016]","[1, 2]"
5,0.3717148863163191,0.3788615672716072,0.3957280932935242,0.4102300900433744,0.2342456194389726,0.2378839517810515,0.1010960711876756,0.1019861551799944,1.102784666511201,1.128961763211659,0.0082251755520701,0.0285326484590768,0.0013238381361588,0.0037144178058952,0.0090001327916979,-1.0,0.0020781552884727,0.0115192625671625,0.061245284974575,0.011681948788464,0.0738370567560195,-1.0,"[0.007555072661489248, 0.008895277976989746]","[0.07122896611690521, 0.05126161128282547]","[1, 2]"
6,0.3691398280183064,0.3726779020258358,0.404801927737354,0.4126752614974975,0.2307579993587179,0.2360576133110693,0.1004418314040936,0.101647083514503,1.105141587171358,1.1230578677994865,0.0078084776178002,0.0290506668388843,0.0024061899166554,0.0058524128980934,0.0087413601577281,-1.0,0.0031501848716288,0.0149765852838754,0.0653918534517288,0.0158184617757797,0.0779167115688324,-1.0,"[0.010199162177741528, 0.005417792592197657]","[0.07538656890392303, 0.05539711192250252]","[1, 2]"
7,0.3661521307586394,0.368240016911711,0.413177078224949,0.4220066501625946,0.2274594734010008,0.2341356945357152,0.0997084053905354,0.1009634288826159,1.1064970883512006,1.1253457878317152,0.0132198957726359,0.0400077514350414,0.0083298915997147,0.0077857193537056,0.0145878326147794,-1.0,0.0046287672594189,0.0193251706659793,0.0712437331676483,0.0201178733259439,0.084000252187252,-1.0,"[0.014469161629676819, 0.011970631778240204]","[0.08414270728826523, 0.0583447627723217]","[1, 2]"
8,0.3609532001092262,0.3646394461393356,0.4198345803108412,0.4289394888494696,0.2239153247672258,0.231211642069476,0.099245932183622,0.1006262070898498,1.1039490367948397,1.1254167897360663,0.0179053135216236,0.0524915009737014,0.0089739616960287,0.0080896960571408,0.0204679761081933,-1.0,0.0068776733241975,0.0258139725774526,0.0804801657795906,0.0254822522401809,0.0939443558454513,-1.0,"[0.024289363995194435, 0.011521260254085064]","[0.09548842161893845, 0.06547191739082336]","[1, 2]"
9,0.3539197157645963,0.355325771761792,0.4244033104365634,0.4311881485794271,0.2203841421407522,0.2279379282678876,0.098399796897603,0.1001748157931225,1.0971069692336406,1.1146266630717687,0.0322407521307468,0.0787732973694801,0.0217742193490266,0.0121817300096154,0.0360390096902847,-1.0,0.0106932390481233,0.034817524254322,0.0899326354265213,0.0319729745388031,0.1040694117546081,-1.0,"[0.04380859434604645, 0.020672911778092384]","[0.10733093321323395, 0.07253435254096985]","[1, 2]"
10,0.348460233703102,0.3506234804434435,0.4263064733792826,0.4326099471322128,0.2156670509079068,0.2243215925991535,0.0976566282129779,0.0988413522552166,1.088090385358358,1.1063963707004274,0.0439526960253715,0.0998589247465133,0.03361701592803,0.0152125786989927,0.0494777895510196,-1.0,0.0130620766431093,0.0435165725648403,0.099989965558052,0.0407498478889465,0.1144290417432785,-1.0,"[0.05554291233420372, 0.03236248344182968]","[0.11860523372888565, 0.08137470483779907]","[1, 2]"
11,0.3437407208779423,0.3476849810353347,0.4240200295276248,0.4286719720278467,0.2123265867841612,0.2220097873359918,0.0968599116679319,0.0985995033489806,1.0769472509315334,1.0969662538596563,0.0568784177303314,0.1218428686261177,0.0497134700417518,0.024002831429243,0.0636766254901886,-1.0,0.0146069778129458,0.0542506948113441,0.1120793223381042,0.0445107817649841,0.1289541572332382,-1.0,"[0.0679497942328453, 0.04580703005194664]","[0.12994784116744995, 0.09421081095933914]","[1, 2]"
12,0.3402586124606968,0.3461886319730963,0.4221810690828205,0.4295309952327183,0.2084635119769991,0.2205489158098186,0.0962199105967566,0.0979791403348956,1.0671231061527409,1.0942476860114507,0.0647277161478996,0.1320743709802627,0.0579814538359642,0.0265358984470367,0.0723866373300552,-1.0,0.0153367053717374,0.0604391917586326,0.1188373565673828,0.0531303063035011,0.1351342946290969,-1.0,"[0.07552595436573029, 0.05392947793006897]","[0.13738742470741272, 0.10028727352619171]","[1, 2]"
13,0.3373257075388407,0.3417861770306314,0.419172756911553,0.4233447079147611,0.2052448318176662,0.2204320800623723,0.0953647186691613,0.0974708734346287,1.0571080172799296,1.0830338426998682,0.071193553507328,0.1419574320316314,0.0655494481325149,0.0325516462326049,0.0789534822106361,-1.0,0.0157152898609638,0.0662126019597053,0.1253625154495239,0.0545518398284912,0.1430810242891311,-1.0,"[0.08344754576683044, 0.05893954634666443]","[0.14426815509796143, 0.10645687580108643]","[1, 2]"
14,0.3354090423006372,0.343342481979302,0.4171283879538172,0.4198036055479731,0.2022560017625081,0.2195069252380303,0.0945964323875215,0.0977360533018197,1.0493898652878004,1.0803890590156828,0.0741300210356712,0.1494127362966537,0.0692496076226234,0.0330427400767803,0.0828250497579574,-1.0,0.0158452093601226,0.069094568490982,0.1303925812244415,0.053176861256361,0.1503340005874633,-1.0,"[0.08607276529073715, 0.06218727305531502]","[0.148313969373703, 0.11247120052576065]","[1, 2]"
15,0.3340004584223954,0.3417415496494089,0.4150260625426302,0.4237863985555513,0.1984062663365885,0.220099143151726,0.0940378129328649,0.0963860022436295,1.0414706020011115,1.0820130897419793,0.0800532922148704,0.1584882885217666,0.0735586583614349,0.03708441182971,0.088410772383213,-1.0,0.0161111932247877,0.0734248384833335,0.1354178935289383,0.0615270026028156,0.1541719138622284,-1.0,"[0.09275659918785095, 0.06734997779130936]","[0.1539340615272522, 0.11690173298120499]","[1, 2]"
